Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
Cerebrovascular segmentation network based on fast fourier convolution and Mamba.	10.1088/2057-1976/ae0483
Automated segmentation of retinal vessel using HarDNet fully convolutional networks.	10.1371/journal.pone.0330641
Comparative analysis of cervical cancer classification of DPAGCHE-enhanced Pap smear images using convolutional neural network models.	10.1371/journal.pone.0330103
Transfer Learning Based Deep Learning Approach for Knee Osteoarthritis Grading Using Modified XceptionNet Architecture.	10.3791/68720
Enhancing the Interpretation of Skin Lesion Diagnosis: Concept Adaptive Fine-Tuning of Vision-Language Models.	10.1109/JBHI.2025.3606881
Two-Steps Neural Networks for an Automated Cerebrovascular Landmark Detection Along the Circle of Willis.	10.1109/JBHI.2025.3606992
M<sup>2</sup>KD-Net: A multimodal multi-domain knowledge-driven framework for Parkinson's disease diagnosis.	10.1177/08953996251358141
AI-Driven Fetal Liver Echotexture Analysis: A New Frontier in Predicting Neonatal Insulin Imbalance.	10.1002/jum.70053
Utilizing Detectron2 for accurate and efficient colon cancer detection in histopathological images.	10.3389/fbioe.2025.1593534
DVF-YOLO-Seg: A two-stage breast mass segmentation model with enhanced feature extraction and small lesion detection.	10.1177/20552076251374192
Brain tumor classification using GAN-augmented data with autoencoders and Swin Transformers.	10.3389/fmed.2025.1635796
The CuPeR model: A dynamic online tool for predicting Cushing's disease persistence and recurrence after pituitary surgery.	10.1016/j.jcte.2025.100417
Survey on sampling conditioned brain images and imaging measures with generative models.	10.1007/s13534-025-00487-3
Lung nodule synthesis guided by customized multi-confidence masks.	10.1007/s13534-025-00490-8
Radiogenomics-based prediction of <i>KRAS</i> and <i>EGFR</i> gene mutation in non-small cell lung cancer patients.	10.11817/j.issn.1672-7347.2025.250026
A Deep Learning-Based Fully Automated Cardiac MRI Segmentation Approach for Tetralogy of Fallot Patients.	10.1002/jmri.70113
Prediction of Pulmonary Ground-Glass Nodule Progression State on Initial Screening CT Using a Radiomics-Based Model.	10.1111/resp.70115
MMSupcon: An image fusion-based multi-modal supervised contrastive method for brain tumor diagnosis.	10.1016/j.artmed.2025.103253
Application of computer vision for automated detection of different lesions in pig lungs: An exploratory study.	10.1016/j.prevetmed.2025.106672
Enhancing reconstruction-based out-of-distribution detection in brain MRI with model and metric ensembles.	10.1016/j.cmpb.2025.109045
Highly reliable personalized noninvasive hemoglobin estimation by using Vision Transformers and dual fine-tuning.	10.1016/j.compbiomed.2025.111026
A deep learning-based approach for measuring patellar cartilage deformations from knee MR images.	10.1016/j.jbiomech.2025.112930
AI-driven and Traditional Radiomic Model for Predicting Muscle Invasion in Bladder Cancer via Multi-parametric Imaging: A Systematic Review and Meta-analysis.	10.1016/j.acra.2025.08.035
Medical SAM-Clip Grafting for brain tumor segmentation.	10.1016/j.compbiomed.2025.110928
End-to-end deep learning model with multi-channel and attention mechanisms for multi-class diagnosis in CT-T staging of advanced gastric cancer.	10.1016/j.ejrad.2025.112408
Prediction of intracranial aneurysm rupture from computed tomography angiography using an automated artificial intelligence framework.	10.1016/j.compbiomed.2025.110965
Common network related to hyperkinetic seizures revealed by functional lesion network mapping.	10.1111/epi.18603
AlzFormer: Video-based space-time attention model for early diagnosis of Alzheimer's disease.	10.1016/j.neuroscience.2025.08.062
An arbitrary-modal fusion network for volumetric cranial nerves tract segmentation.	10.1016/j.compmedimag.2025.102635
LoRA-PT: Low-rank adapting UNETR for hippocampus segmentation using principal tensor singular values and vectors.	10.1016/j.artmed.2025.103254
Noninvasive assessment of glymphatic system alterations as potential biomarkers for predicting overall survival in glioma.	10.3171/2025.5.JNS243268
The Elbow Ulnar Collateral Ligament Injury Prognosis Score.	10.1177/03635465251366318
Potentials and limitations in the application of Convolutional Neural Networks for mosquito species identification using wing images.	10.1371/journal.pcbi.1013435
A Tri-Factor Adaptive Federated Learning Framework for Parkinson's Disease Diagnosis via Multi-Source Facial Expression Analysis.	10.1109/JBHI.2025.3605732
SegTom: A 3D Volumetric Medical Image Segmentation Framework for Thoracoabdominal Multi-Organ Anatomical Structures.	10.1109/JBHI.2025.3606266
A dual-branch encoder network based on squeeze-and-excitation UNet and transformer for 3D PET-CT image tumor segmentation.	10.1007/s11517-025-03427-6
Prostate MR image segmentation using a multi-stage network approach.	10.1007/s11255-025-04763-0
Interpretable Semi-federated Learning for Multimodal Cardiac Imaging and Risk Stratification: A Privacy-Preserving Framework.	10.1007/s10278-025-01643-y
Prenatal diagnosis of cerebellar hypoplasia in fetal ultrasound using deep learning under the constraint of the anatomical structures of the cerebellum and cistern.	10.1007/s00247-025-06376-2
Artificial Intelligence-based Liver Volume Measurement Using Preoperative and Postoperative CT Images.	10.2174/0115734056394257250818060804
Exploring the Predictive Value of Grading in Regions Beyond Peritumoral Edema in Gliomas Based on Radiomics.	10.2174/0115734056387494250823132119
Buffering brain aging: education moderates language impairment in Parkinson's disease.	10.3389/fncel.2025.1606451
Motion-Robust Direct Myelin Imaging in MRI using Self-Gating.	10.21203/rs.3.rs-7199927/v1
Reciprocal Predictions Between Reading Achievement and Cognitive Flexibility Development in Children and the Mediating Roles of the Left Middle Frontal Gyrus.	10.1002/hbm.70309
Integrated subcellular localization of functional fluorescence probes and functional analysis in motile spermatozoa by an AI-enhanced algorithm.	10.4103/aja202545
Lung lobe segmentation: performance of open-source MOOSE, TotalSegmentator, and LungMask models compared to a local in-house model.	10.1186/s41747-025-00623-9
Deep Learning for Segmenting Ischemic Stroke Infarction in Non-contrast CT Scans by Utilizing Asymmetry.	10.1007/s00062-025-01559-8
Automated Kidney Tumor Segmentation in CT Images Using Deep Learning: A Multi-Stage Approach.	10.1016/j.acra.2025.08.020
Optimizing cardiac diffusion tensor imaging in vivo: More directions or repetitions?	10.1016/j.jocmr.2025.101951
Dual-perspective decoupling network for kidney tumor segmentation on CT images.	10.1016/j.neunet.2025.108042
Exploring foundation models for multi-class muscle segmentation in MR images of neuromuscular disorders: A comparative analysis of accuracy and uncertainty.	10.1016/j.cmpb.2025.109035
Estimation of Segmental Longitudinal Strain in Transesophageal Echocardiography by Deep Learning.	10.1109/JBHI.2025.3605793
Integrating Clinical Knowledge Graphs and Gradient-Based Neural Systems for Enhanced Melanoma Diagnosis via the Seven-Point Checklist.	10.1109/TNNLS.2025.3600443
YOLO-ED: An efficient lung cancer detection model based on improved YOLOv8.	10.1371/journal.pone.0330732
Feasibility of Real-Time Automated Vocal Fold Motion Tracking for In-Office Laryngoscopy.	10.1002/lary.70104
Applying the "positive predictive value-recall diagram" to monitor performance and provide recommendations for screening radiologists.	10.1007/s00330-025-11978-3
Epigenome-wide DNA methylation profiling in aneurysmal subarachnoid hemorrhage and delayed ischemic neurologic deficit: a prospective observational study.	10.1097/JS9.0000000000003324
Detecting, Characterizing, and Mitigating Implicit and Explicit Racial Biases in Health Care Datasets With Subgroup Learnability: Algorithm Development and Validation Study.	10.2196/71757
Gender Medicine in Computed Tomography Radiomics Analysis to Predict Disease Progression in Liver Respectable Colorectal Cancer Patients.	10.1002/cam4.70991
Retinal vessel segmentation driven by structure prior tokens.	10.1002/mp.18018
Convolutional neural network application for automated lung cancer detection on chest CT using Google AI Studio.	10.1016/j.radi.2025.103152
A Preliminary Study on an Intelligent Segmentation and Classification Model for Amygdala-Hippocampus MRI Images in Alzheimer's Disease.	10.1016/j.acra.2025.08.039
Artificial Intelligence for Alzheimer's disease diagnosis through T1-weighted MRI: A systematic review.	10.1016/j.compbiomed.2025.111028
CISCA and CytoDArk0: A cell instance segmentation and classification method for histo(patho)logical image Analyses and a new, open, Nissl-stained dataset for brain cytoarchitecture studies.	10.1016/j.compbiomed.2025.111018
DECODE: An open-source cloud-based platform for the noninvasive management of peripheral artery disease.	10.1016/j.cmpb.2025.109037
Enhancing breast cancer screening: Unveiling explainable cross-view contributions in dual-view mammography with Sparse Bipartite Graphs Attention Networks.	10.1016/j.compmedimag.2025.102620
Towards Generic Abdominal Multi-Organ Segmentation with multiple partially labeled datasets.	10.1016/j.compmedimag.2025.102642
Stroke-Aware CycleGAN: Improving Low-Field MRI Image Quality for Accurate Stroke Assessment.	10.1109/TMI.2025.3605566
Effective SMOTE boost with deep learning for IDC identification in whole-slide images.	10.1371/journal.pone.0329078
Integrating radiomics, artificial intelligence, and molecular signatures in bone and soft tissue tumors: advances in diagnosis and prognostication.	10.3389/fonc.2025.1613133
Evaluating large language model-generated brain MRI protocols: performance of GPT4o, o3-mini, DeepSeek-R1 and Qwen2.5-72B.	10.1007/s00330-025-11989-0
Using Explainable AI to Characterize Features in the Mirai Mammographic Breast Cancer Risk Prediction Model.	10.1148/ryai.240417
Characterizing Hemodynamic Alterations in Glioma: Insights From Resting-State Functional MRI.	10.1111/jon.70082
Automated quantification of abdominal aortic calcification using 3D nnU-Net: a novel approach to assess AAA rupture risk.	10.1186/s12880-025-01911-x
Multidimensional in silico evaluation of fluorine-18 radiopharmaceuticals: integrating pharmacokinetics, ADMET, and clustering for diagnostic stratification.	10.1007/s10822-025-00655-8
Mask-Guided and Fidelity-Constrained Deep Learning Model for Accurate Translation of Brain CT Images to Diffusion MRI Images in Acute Stroke Patients.	10.1007/s10278-025-01649-6
Comparative analysis of supervised and self-supervised learning with small and imbalanced medical imaging datasets.	10.1038/s41598-025-99000-0
Automated quantification of cervical spine degeneration with development of a segmentation framework based on probabilistic anatomical cognition.	10.1088/1361-6560/ae023a
A multi-backbone cascade and morphology-aware segmentation network for complex morphological X-ray coronary artery images.	10.1016/j.compmedimag.2025.102629
Leveraging sparse annotations for leukemia diagnosis on the large leukemia dataset.	10.1016/j.media.2025.103760
Optimizing vision care: Dual path network model in eye disease classification.	10.1016/j.compbiomed.2025.111021
Microstructural alterations of the corpus callosum in affective and non-affective early psychosis: A diffusion magnetic resonance imaging study.	10.1016/j.schres.2025.08.010
CT-SCOPE: annotated dataset of CT SCans for the automatic semantic segmentation of the Osseous structures of the Paranasal sinusEs.	10.1016/j.dib.2025.111962
Characterizing Psychiatric Disorders Through Graph Neural Networks: A Functional Connectivity Analysis of Depression and Schizophrenia.	10.1155/da/9062022
CT Radiomics-based machine learning approach for the invasiveness of pulmonary ground-glass nodules prediction.	10.1016/j.ejro.2025.100680
A Multicenter Study of Unplanned Hospital Readmissions after Transsphenoidal Surgery for Cushing's Disease.	10.1055/s-0044-1789193
Computer-aided diagnosis based on 3D deep convolutional neural network system using novel 3D magnetic resonance imaging sequences for high-grade prostate cancer.	10.1097/CU9.0000000000000271
Multi-View Echocardiographic Embedding for Accessible AI Development.	10.1101/2025.08.15.25333725
Artificial intelligence-enhanced ultrasound imaging for thyroid nodule detection and malignancy classification: a study on YOLOv11.	10.21037/qims-2025-257
Combining curriculum learning and weakly supervised attention for enhanced thyroid nodule assessment in ultrasound imaging.	10.21037/qims-24-2431
YOLOv8-BCD: a real-time deep learning framework for pulmonary nodule detection in computed tomography imaging.	10.21037/qims-2025-824
Enhancing glioma immunohistochemical image classification through color deconvolution-aware prior guidance.	10.1371/journal.pone.0324359
DFU_DIALNet: Towards reliable and trustworthy diabetic foot ulcer detection with synergistic confluence of Grad-CAM and LIME.	10.1371/journal.pone.0330669
Differentiation of benign and malignant oral lesions through surface texture analysis and SVM modeling.	10.1007/s00784-025-06478-z
Overcoming Site Variability in Multisite fMRI Studies: an Autoencoder Framework for Enhanced Generalizability of Machine Learning Models.	10.1007/s12021-025-09746-1
Combined Probability Test for Sectoral Progression of the Circumpapillary Retinal Nerve Fiber Layer Thickness.	10.1167/tvst.14.9.4
MRI Radiomics Signatures of 21-Gene Recurrence Score for Predicting Survival in ER+/HER2- Breast Cancer.	10.1002/cam4.71172
Accelerated water residual removal in MRS: Exploring deep learning versus fitting-based approaches.	10.1002/mrm.70031
CAMERA-Net With Focal Pixel Loss for Accelerated MRI.	10.1002/nbm.70135
Unraveling the complexity of neurodegeneration: heterogeneous damage patterns of locus coeruleus and substantia nigra in Alzheimer's disease.	10.1002/alz.70605
Uncertainty-guided cross-level fusion network for retinal OCT image segmentation.	10.1002/mp.18102
Radiomics-based kidney lesion classification: Mitigating batch effect with nested combat harmonization.	10.1002/mp.18070
Surrogating tumour cell density in head and neck cancer: [<sup>18</sup>F]FDG PET- versus ADC (MRI)-based approaches.	10.1186/s13014-025-02716-6
Sliding volume-based streak artifact reduction network (S-STAR Net) for ultra-sparse-view computed tomography.	10.1186/s12880-025-01910-y
Feature-guided multilayer encoding-decoding network for segmentation for 3D intraoral scan data.	10.1038/s41598-025-16360-3
Computer vision based efficient segmentation and classification of multi brain tumor using computed tomography images.	10.1038/s41598-025-16825-5
Marrying Perona Malik diffusion with Mamba for efficient pediatric echocardiographic left ventricular segmentation.	10.1038/s41598-025-16797-6
Explainable self-supervised learning for medical image diagnosis based on DINO V2 model and semantic search.	10.1038/s41598-025-15604-6
Improving lung cancer detection with enhanced convolutional sequential networks.	10.1038/s41598-025-06653-y
Assessment and correction of the respiratory phase misalignment using different signals in 4-dimensional imaging and free-breathing gated radiotherapy.	10.1016/j.radonc.2025.111116
The utility of artificial intelligence in characterization and detecting causes of macular edema: A spectral-domain OCT-based algorithm study.	10.1016/j.exer.2025.110619
An innovative learning-based framework for automated craniotomy planning in glioma resection.	10.1088/2057-1976/ae0132
Lifespan Tree of Brain Anatomy: Diagnostic Values for Motor and Cognitive Neurodegenerative Diseases.	10.1002/hbm.70336
CXR-MultiTaskNet a unified deep learning framework for joint disease localization and classification in chest radiographs.	10.1038/s41598-025-16669-z
Noncontrast CT-based deep learning for predicting intracerebral hemorrhage expansion incorporating growth of intraventricular hemorrhage.	10.1038/s41598-025-17393-4
Two subtypes of major depressive disorder are identified from individualized gray matter morphological abnormalities in a large multi-site dataset.	10.1017/S0033291725101499
[Brain midline segmentation method based on prior knowledge and path optimization].	10.7507/1001-5515.202412032
Lobectomy improves disease-free survival over sublobar resection for high-risk stage IA non-small cell lung cancer.	10.1016/j.jtcvs.2025.08.024
TIPs: Tooth instance and pulp segmentation based on hierarchical extraction and fusion of anatomical priors from cone-beam CT.	10.1016/j.artmed.2025.103247
Language-guided multimodal domain generalization for outcome prediction of head and neck cancer.	10.1016/j.compbiomed.2025.110992
A robust deep learning framework for cerebral microbleeds recognition in GRE and SWI MRI.	10.1016/j.nicl.2025.103873
MSFE-GallNet-X: a multi-scale feature extraction-based CNN Model for gallbladder disease analysis with enhanced explainability.	10.1186/s12880-025-01902-y
Characterizing replicability in the clustering structure of brain morphology in autism, attention-deficit/hyperactivity disorder, and obsessive compulsive disorder.	10.1038/s41398-025-03540-y
Development of a Deep-Learning Model for Estimating Newborn Gestational Age via Lumbar Vertebral Segmentation on Plain Radiography.	10.3348/kjr.2025.0172
Large Language Models for CAD-RADS 2.0 Extraction From Semi-Structured Coronary CT Angiography Reports: A Multi-Institutional Study.	10.3348/kjr.2025.0293
Characteristic indicators for mild-cognitive-impairment obtained from dimension reduction of brain networks.	10.1016/j.pscychresns.2025.112060
Longitudinal correlation between X-ray and MRI findings in medial compartment knee osteoarthritis: Insights into early cartilage loss and structural changes.	10.1002/ksa.70016
An ultra-wide-field fundus image dataset for intelligent diagnosis of intraocular tumors.	10.1038/s41597-025-05864-2
Radiomics-Based Model Using Tumor and Peritumoral Features with Semi-Supervised and Privileged Learning for Metastatic Risk Prediction in Lung Cancer: A Multi-Site Study.	10.1016/j.cmpb.2025.109029
Enhanced glioma semantic segmentation using U-net and pre-trained backbone U-net architectures.	10.1038/s41598-025-17895-1
Synthetic data generation method improves risk prediction model for early tumor recurrence after surgery in patients with pancreatic cancer.	10.1038/s41598-025-15800-4
A comparative analysis of deep learning architectures for thyroid tissue classification with hyperspectral imaging.	10.1038/s41598-025-16060-y
Improved pulmonary embolism detection in CT pulmonary angiogram scans with hybrid vision transformers and deep learning techniques.	10.1038/s41598-025-16238-4
A novel method for optic disc localization using fast circlet transform and Chan-Vese segmentation.	10.1038/s41598-025-11257-7
Integrating biometric and multimodal imaging data for early prediction of myopia onset.	10.1038/s41598-025-15605-5
Synthesize contrast-enhanced ultrasound image of thyroid nodules via generative adversarial networks.	10.1007/s00330-025-11928-z
Automatic opportunistic osteoporosis screening using chest X-ray images via deep neural networks.	10.1016/j.bone.2025.117618
ResGSNet: Enhanced local attention with Global Scoring Mechanism for the early detection and treatment of Alzheimer's Disease.	10.1016/j.compbiomed.2025.110951
TransUNET-DDPM: A transformer-enhanced diffusion model for subject-specific brain network generation and classification.	10.1016/j.compbiomed.2025.110996
Nasopharyngeal cancer adaptive radiotherapy with CBCT-derived synthetic CT: deep learning-based auto-segmentation precision and dose calculation consistency on a C-Arm linac.	10.1186/s13014-025-02715-7
A simple and effective approach for body part recognition on CT scans based on projection estimation.	10.1038/s41598-025-17174-z
VM-Unet enhanced with multi-scale pyramid feature extraction for segmentation of tibiofemoral joint tissues from knee MRI.	10.1371/journal.pone.0330740
Development of a Large-Scale Dataset of Chest Computed Tomography Reports in Japanese and a High-Performance Finding Classification Model: Dataset Development and Validation Study.	10.2196/71137
FED-UNet++: An Improved Nested UNet for Hippocampus Segmentation in Alzheimer's Disease Diagnosis.	10.3390/s25165155
Deep Learning-Based Diagnosis of Lumbar Spondylolisthesis Using X-Ray Imaging.	10.3390/diagnostics15162015
Hybrid of VGG-16 and FTVT-b16 Models to Enhance Brain Tumors Classification Using MRI Images.	10.3390/diagnostics15162014
Enhancing Early Detection of Diabetic Foot Ulcers Using Deep Neural Networks.	10.3390/diagnostics15161996
Enhancing YOLOv11 with Large Kernel Attention and Multi-Scale Fusion for Accurate Small and Multi-Lesion Bone Tumor Detection in Radiographs.	10.3390/diagnostics15161988
Diffusion Model-Based Augmentation Using Asymmetric Attention Mechanisms for Cardiac MRI Images.	10.3390/diagnostics15161985
Opportunistic Detection of Chronic Kidney Disease Using CT-Based Measurements of Kidney Volume and Perirenal Fat.	10.3390/jcm14165888
Application of Fractal Radiomics and Machine Learning for Differentiation of Non-Small Cell Lung Cancer Subtypes on PET/MR Images.	10.3390/jcm14165776
Integrating AI with Advanced Hyperspectral Imaging for Enhanced Classification of Selected Gastrointestinal Diseases.	10.3390/bioengineering12080852
Enhancing Early GI Disease Detection with Spectral Visualization and Deep Learning.	10.3390/bioengineering12080828
IHRAS: Automated Medical Report Generation from Chest X-Rays via Classification, Segmentation, and LLMs.	10.3390/bioengineering12080795
Machine Learning-Based Classification of Cervical Lymph Nodes in HNSCC: A Radiomics Approach with Feature Selection Optimization.	10.3390/cancers17162711
Morphological Characteristics of the Meibomian Glands: Impact of Demographics and Contact Lens Wear.	10.1167/tvst.14.8.36
Classification of computed tomography scans: a novel approach implementing an enforced random forest algorithm.	10.1016/j.ejmp.2025.105080
Multi-Scale Temporal-Frequency Attention Network Based on Ocular Imaging for Depression Detection.	10.1109/JBHI.2025.3604064
Incomplete Multi-Modal Disentanglement Learning With Application to Alzheimer's Disease Diagnosis.	10.1109/TMI.2025.3604361
Comparing linear and nonlinear finite element models of vertebral strength across the thoracolumbar spine: a benchmark from density-calibrated computed tomography.	10.1093/gigascience/giaf094
Patient Diagnostic Journey and Time to Diagnosis in Axial Spondyloarthritis: A Retrospective Cohort Study Using US Claims Data.	10.1007/s40744-025-00791-5
The design, fabrication, and clinical application of a universal donor tooth model in autotransplantation.	10.1016/j.jdent.2025.106059
ASD-HybridNet: A hybrid deep learning framework for detection of autism spectrum disorder.	10.1016/j.mri.2025.110492
Deep learning-based prediction of axillary pathological complete response in patients with breast cancer using longitudinal multiregional ultrasound.	10.1016/j.ebiom.2025.105896
D-S-Net: an efficient dual-stage strategy for high-precision segmentation of gross tumor volumes in lung cancer CT images.	10.1186/s12885-025-14615-w
Machine Learning and Feature Selection in Pediatric Appendicitis.	10.3390/tomography11080090
<i>P-Count</i>: Persistence-based Counting of White Matter Hyperintensities in Brain MRI.	10.1007/978-3-031-73967-5_10
Evaluation of deep learning systems in detection of dental caries on panoramic radiography.	
Musculoskeletal infection reporting and data system (MSKI-RADS): multi-institutional wider generalizability study.	10.1007/s00330-025-11971-w
RetinoDeep: Leveraging Deep Learning Models for Advanced Retinopathy Diagnostics.	10.3390/s25165019
Robust Segmentation of Lung Proton and Hyperpolarized Gas MRI with Vision Transformers and CNNs: A Comparative Analysis of Performance Under Artificial Noise.	10.3390/bioengineering12080808
Deep Learning-Based 3D and 2D Approaches for Skeletal Muscle Segmentation on Low-Dose CT Images.	10.1007/s10278-025-01646-9
Intelligent Head and Neck CTA Report Quality Detection with Large Language Models.	10.1007/s10278-025-01577-5
Artificial intelligence for biopsies and imaging modalities in systemic autoimmune rheumatic diseases: An instructive narrative review.	10.1016/j.autrev.2025.103916
PWLS-SOM: alternative PWLS reconstruction for limited-view CT by strategic optimization of a deep learning model.	10.1088/1361-6560/adffe0
From pixels to patterns: Coupling Optical Coherence Tomography and machine learning for monitoring coastal wetland root systems.	10.1016/j.scitotenv.2025.180315
Radiomics feature analysis for survival prediction in multiple myeloma: An automated PET/CT approach.	10.1016/j.cmpb.2025.109019
Unsupervised 4D-flow MRI reconstruction based on partially-independent generative modeling and complex-difference sparsity constraint.	10.1016/j.media.2025.103769
MSARAE: Multiscale adversarial regularized autoencoders for cortical network classification.	10.1016/j.media.2025.103775
A Web-Deployed, Explainable AI System for Comprehensive Brain Tumor Diagnosis.	10.3390/neurolint17080121
From Detection to Diagnosis: An Advanced Transfer Learning Pipeline Using YOLO11 with Morphological Post-Processing for Brain Tumor Analysis for MRI Images.	10.3390/jimaging11080282
Focused View CT Urography: Towards a Randomized Trial Investigating the Relevance of Incidental Findings in Patients with Hematuria.	10.3390/diseases13080242
Charting New Territory: AI Applications in Dental Caries Detection from Panoramic Imaging.	10.3390/dj13080366
Functional MRI signatures of autonomic physiology in aging.	10.1038/s42003-025-08703-7
Optimized deep learning for brain tumor detection: a hybrid approach with attention mechanisms and clinical explainability.	10.1038/s41598-025-04591-3
Application of artificial intelligence in medical imaging for tumor diagnosis and treatment: a comprehensive approach.	10.1007/s12672-025-03307-3
Deep learning-based dual-energy subtraction synthesis from single-energy kV x-ray fluoroscopy for markerless tumor tracking.	10.1007/s11517-025-03432-9
Development of Privacy-preserving Deep Learning Model with Homomorphic Encryption: A Technical Feasibility Study in Kidney CT Imaging.	10.1148/ryai.240798
Multiclass Classification of Pigmented Skin Lesions Using a Multimodal Large Language Model.	10.7759/cureus.88711
An Unsupervised Learning Algorithm for the Automatic Classification of Coronary Artery Lesions.	10.7759/cureus.88638
Baseline Clinical Characterization of Participants in the Accelerating Medicines Partnership Schizophrenia Program.	10.1093/schizbullopen/sgaf012
An explainable AI approach for mapping multivariate regional brain age and clinical severity patterns in Alzheimer's disease.	10.1093/biomethods/bpaf051
Explainable artificial intelligence in the prediction of high-risk asymptomatic carotid plaques based on ultrasonic image features.	10.23736/S0392-9590.25.05449-5
Thiel cadaver suitability for image-based abdominal ultrasound research.	10.1016/j.aanat.2025.152713
Application of contrast-enhanced CT-driven multimodal machine learning models for pulmonary metastasis prediction in head and neck adenoid cystic carcinoma.	10.1016/j.ejrad.2025.112377
Reducing radiomics errors in nasopharyngeal cancer via deep learning-based synthetic CT generation from CBCT.	10.1186/s12880-025-01894-9
Development and evaluation of a convolutional neural network model for sex prediction using cephalometric radiographs and cranial photographs.	10.1186/s12880-025-01892-x
A deep learning framework for automated early diagnosis and classification of skin cancer lesions in dermoscopy images.	10.1038/s41598-025-15655-9
Optimizing brain stroke detection with a weighted voting ensemble machine learning model.	10.1038/s41598-025-14358-5
Full Field Digital Mammography Dataset from a Population Screening Program.	10.1038/s41597-025-05866-0
A Deep Learning Model for Detecting the Eyes Receiving Glaucoma Medications Using Anterior Segment Images.	10.1167/tvst.14.8.28
DYNAFormer: Enhancing transformer segmentation with dynamic anchor mask for medical imaging.	10.1016/j.compbiomed.2025.110952
MRI-Based Mathematical Modeling to Predict the Response of I-SPY 2 Patients with Breast Cancer to Neoadjuvant Therapy.	10.1158/1078-0432.CCR-25-0668
CD-GANs : Conditional dynamic training with GANs for enhanced post-gadolinium glioblastoma MRIs.	10.1016/j.mri.2025.110509
Impact of deep learning model uncertainty on manual corrections to MRI-based auto-segmentation in prostate cancer radiotherapy.	10.1002/acm2.70221
AbVLM-Q: intelligent quality assessment for abdominal ultrasound standard planes via vision-language modeling.	10.1186/s12880-025-01885-w
A novel residual network based on multidimensional attention and pinwheel convolution for brain tumor classification.	10.1038/s41598-025-16564-7
NLSTseg: A Pixel-level Lung Cancer Dataset Based on NLST LDCT Images.	10.1038/s41597-025-05742-x
DERMA-OCTA: A Comprehensive Dataset and Preprocessing Pipeline for Dermatological OCTA Vessel Segmentation.	10.1038/s41597-025-05763-6
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system.	10.1038/s41467-025-62865-w
Predicting pediatric age from chest X-rays using deep learning: a novel approach.	10.1186/s13244-025-02068-5
Performance of chest X-ray with computer-aided detection powered by deep learning-based artificial intelligence for tuberculosis presumptive identification during case finding in the Philippines.	10.1186/s44263-025-00198-y
Spacetop: A multimodal fMRI dataset unifying naturalistic processes with a rich array of experimental tasks.	10.1038/s41597-025-05154-x
TomoGRAF: An X-ray physics-driven generative radiance field framework for extremely sparse view CT reconstruction.	10.1371/journal.pone.0330463
HeteroMRI: Robust white matter abnormality classification across multi-scanner MRI data.	10.1093/gigascience/giaf092
A Lightweight Dual-Output Vision Transformer for Enhanced Lung Nodule Classification Using CT Images.	10.1177/15330338251370439
Meta-Learning With Unlabeled Query Updating and Consistency Learning for Few-Shot OCT Image Classification.	10.1109/TBME.2025.3602687
TransSeg: Leveraging Transformer With Channel-Wise Attention and Semantic Memory for Semi-Supervised Ultrasound Segmentation.	10.1109/JBHI.2025.3602007
Protocol for CLASSICA software as medical device trial.	10.1080/13645706.2025.2540482
Complex-Valued Spatio-Temporal Graph Convolution Neural Network optimized With Giraffe Kicking Optimization Algorithm for Thyroid Nodule Classification in Ultrasound Images.	10.1177/01617346251362167
CICADA: An automated and flexible tool for comprehensive fMRI noise reduction.	10.1162/IMAG.a.114
Role of Artificial Intelligence and Machine Learning in Conservative Dentistry and Endodontics: A Review.	10.7759/cureus.88515
Bosniak classification of renal cysts using large language models: a comparative study.	10.1007/s00117-025-01499-x
Performance of multi-vendor auto-segmentation models for thoracic organs at risk trained on a single dataset.	10.1016/j.ejmp.2025.105089
A Point-based Risk Stratification System for Breast Masses: Potential Alternative to the Existing ACR BIRADS.	10.1016/j.ultrasmedbio.2025.07.018
Graph-based multi-modality network for axillary lymph node metastasis prediction in early-stage breast cancer.	10.1016/j.cmpb.2025.109021
Collaborative surgical instrument segmentation for monocular depth estimation in minimally invasive surgery.	10.1016/j.media.2025.103765
Machine learning model for predicting the magnitude of tumor movement based on clinical information and CT-based radiomics features.	10.1016/j.apradiso.2025.112102
An intelligent diagnostic model for pulmonary nodules utilizing chest radiographic imagery and its application in community-based lung cancer screening.	10.1038/s41416-025-03147-6
AlzhiNet: Traversing from 2D-CNN to 3D-CNN, Towards Early Detection and Diagnosis of Alzheimer's Disease.	10.1007/s12539-025-00764-w
ScarNet: a novel foundation model for automated myocardial scar quantification from late gadolinium-enhancement images.	10.1016/j.jocmr.2025.101945
Efficient lightweight CNN for automated classification of B-cell acute lymphoblastic leukemia.	10.1016/j.compbiolchem.2025.108645
Automatic generation and risk stratification of carotid plaque in virtual shear wave elastography using a generative adversarial network.	10.1016/j.compmedimag.2025.102600
Multi-view parallel convolutional network for organ segmentation in mediastinal region on CT images.	10.1016/j.neunet.2025.107972
Mapping early corpus callosum development to identify neurodevelopmental risk.	10.1016/j.dcn.2025.101605
Development and verification of a convolutional neural network-based model for automatic mandibular canal localization on multicenter CBCT images.	10.1186/s12903-025-06724-6
An effective flowchart for multimodal brain tumor binary classification with ranked 3D texture features.	10.1038/s41598-025-11240-2
